burst_offset_millis,go_total_bytes,transfer_root_used_bytes,transfer_root_reserved_bytes,transfer_root_released_bytes,client_transfer_used_bytes,provider_transfer_used_bytes,nat_budget_used_bytes,nat_budget_reserved_bytes,nat_budget_released_bytes,pack_queue_used_bytes
-20438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-18437,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-16438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-14438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-12438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-10438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-8439,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-6439,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-4438,17367056,2902684,9280751,6378067,1048576,524288,1329820,5772428,4442608,0
-2438,17367056,2902684,9316257,6413573,1048576,524288,1329820,5799588,4469768,0
-437,17440784,2902684,9317405,6414721,1048576,524288,1329820,5800736,4470916,0
1561,17883152,4328728,21456724,17127996,1048576,1434452,1845700,11710128,9864428,0
3562,18653200,4331288,50986945,46655657,1048576,1433940,1848772,25453680,23604908,0
5562,18866192,4315532,80044093,75728561,1048576,1421140,1845816,38936452,37090636,0
7561,18948112,4350140,99133454,94783314,1048576,1440852,1860712,47548428,45687716,0
9562,19030032,4297712,125408119,121110407,1048576,1410280,1838856,57553700,55714844,0
11563,19259408,4219308,150162267,145942959,1048576,1310556,1860176,66793060,64932884,0
13561,19062800,4130312,173217396,169087084,1048576,1322404,1759332,74840360,73081028,0
15694,19079184,4265544,196731528,192465984,1048576,1421140,1795828,83702028,81906200,0
17562,19079184,4252136,215684146,211432010,1048576,1433428,1770132,90269432,88499300,0
19562,19087376,4248784,215715615,211466831,1048576,1436500,1763708,90296592,88532884,0
21562,19087376,4184220,215798761,211614541,1048576,1421140,1714504,90379336,88664832,0
23562,19087376,4184220,215799163,211614943,1048576,1421140,1714504,90379336,88664832,0
25561,19087376,4184220,215799771,211615551,1048576,1421140,1714504,90379336,88664832,0
27562,19087376,4184220,215800379,211616159,1048576,1421140,1714504,90379336,88664832,0
29561,19087376,4184220,215800987,211616767,1048576,1421140,1714504,90379336,88664832,0
31562,19087376,4187036,215804570,211617534,1048576,1423956,1714504,90379336,88664832,0
33562,19087376,4194868,215879297,211684429,1048576,1430868,1715424,90441416,88725992,0
35562,19308560,4257852,217299664,213041812,1048576,1421140,1788136,91121972,89333836,0
37563,19308560,4297233,218988892,214691659,1048789,1428820,1819624,91778308,89958684,213
39562,19341328,4216488,219715369,215498881,1048576,1421140,1746772,92297740,90550968,0
41562,19341328,4211856,221450694,217238838,1048576,1421140,1742140,92990384,91248244,0
43562,19349520,4265296,223182758,218917462,1048576,1421140,1795580,93648836,91853256,0
45562,19349520,4220328,225377741,221157413,1048576,1421140,1750612,94717608,92966996,0
47561,19472416,4230988,227936905,223705917,1048576,1421140,1761272,95868844,94107572,0
49562,19472416,4163280,248098128,243934848,1048576,1404684,1710020,103190684,101480664,0
51562,19718176,4235212,271493594,267258382,1048728,1433684,1752800,111514240,109761440,152
53562,19677216,4222516,295707429,291484913,1048576,1421140,1752800,119840288,118087488,0
55562,19677216,4211716,319578366,315366650,1048576,1421140,1742000,128154936,126412936,0
57561,19677216,4177268,342942534,338765266,1048576,1427284,1701408,136600828,134899420,0
59561,19677216,4169076,366286987,362117911,1048576,1421140,1699360,145471424,143772064,0
61563,18825248,2853232,374452027,371598795,1048576,524288,1280368,148922456,147642088,0
63562,18825248,2853232,374453175,371599943,1048576,524288,1280368,148923604,147643236,0
65562,18964512,2853232,374469631,371616399,1048576,524288,1280368,148923604,147643236,0
67562,18964512,2853232,374469631,371616399,1048576,524288,1280368,148923604,147643236,0
69562,18964512,2853232,374469631,371616399,1048576,524288,1280368,148923604,147643236,0
71562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
73562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
75563,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
77562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
79562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
81562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
83562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
85562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
87564,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
89562,18964512,2853232,374542839,371689607,1048576,524288,1280368,148979992,147699624,0
91562,18964512,2863508,374553115,371689607,1048576,534564,1280368,148979992,147699624,0
93561,18964512,2853232,374553115,371699883,1048576,524288,1280368,148979992,147699624,0
95561,18964512,2853232,374648010,371794778,1048576,524288,1280368,149056508,147776140,0
97562,18964512,2853232,374683516,371830284,1048576,524288,1280368,149083668,147803300,0
99562,18964512,2853232,374683516,371830284,1048576,524288,1280368,149083668,147803300,0
101561,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
103562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
105562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
107562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
109562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
111562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
113562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
115562,18964512,2853232,374756724,371903492,1048576,524288,1280368,149140056,147859688,0
117562,18964512,2853232,374792230,371938998,1048576,524288,1280368,149167216,147886848,0
119561,18964512,2853232,374792230,371938998,1048576,524288,1280368,149167216,147886848,0
121561,18964512,2853232,374792230,371938998,1048576,524288,1280368,149167216,147886848,0
123562,18964512,2853232,374792230,371938998,1048576,524288,1280368,149167216,147886848,0
125563,18964512,2853232,374792230,371938998,1048576,524288,1280368,149167216,147886848,0
127562,18997280,2952136,375623053,372670917,1048576,524288,1379272,149779112,148399840,0
129562,18997280,2952136,375623053,372670917,1048576,524288,1379272,149779112,148399840,0
131562,18997280,2952136,375696261,372744125,1048576,524288,1379272,149835500,148456228,0
133563,18997280,2952136,375696261,372744125,1048576,524288,1379272,149835500,148456228,0
135562,18997280,2952136,375696261,372744125,1048576,524288,1379272,149835500,148456228,0
137564,18997280,2952136,375759108,372806972,1048576,524288,1379272,149889820,148510548,0
139562,18997280,2952136,375789173,372837037,1048576,524288,1379272,149919564,148540292,0
141563,18997280,2902684,375842811,372940127,1048576,524288,1329820,149956244,148626424,0
143562,18997280,2902684,375842811,372940127,1048576,524288,1329820,149956244,148626424,0
145563,18997280,2902684,375842811,372940127,1048576,524288,1329820,149956244,148626424,0
147562,18997280,2902684,375842811,372940127,1048576,524288,1329820,149956244,148626424,0
149563,18997280,2902684,375842811,372940127,1048576,524288,1329820,149956244,148626424,0
151562,18997280,2910912,375851039,372940127,1048576,532516,1329820,149956244,148626424,0
153562,18997280,2902684,375851039,372948355,1048576,524288,1329820,149956244,148626424,0
155562,18997280,2933944,377669364,374735420,1048576,524288,1361080,151602240,150241160,0
157562,18997280,2933944,378075541,375141597,1048576,524288,1361080,151999040,150637960,0
159562,18997280,2933944,378075541,375141597,1048576,524288,1361080,151999040,150637960,0
161563,18997280,2933944,378148749,375214805,1048576,524288,1361080,152055428,150694348,0
163562,18997280,2933944,378148749,375214805,1048576,524288,1361080,152055428,150694348,0
165563,18997280,2958628,378245274,375286646,1048576,548972,1361080,152126120,150765040,0
167562,18997280,2983396,378602144,375618748,1048576,524288,1410532,152405240,150994708,0
